grid_id,x_utm,y_utm,longitude,latitude,elevation_m,slope_deg,low_lying_score,soil_clay_0_5cm,built_up_ratio,water_ratio,vegetation_ratio,worldcover_class,dist_to_swd_m,dist_to_macro_drain_m,dist_to_micro_drain_m,dist_to_river_stream_m,dist_to_buckingham_canal_m,dist_to_krishna_water_canal_m,drainage_density_m_per_km2,building_count,building_area_m2,dist_to_hospital_m,hospital_count_1km,dist_to_police_m,dist_to_fire_station_m
CHN_G1714,418750.0,1440750.0,80.250672,13.031599,14.71,2.76,0.406,37.0,0.686,0.0,0.314,50,18.8,4634.0,778.3,957.0,1033.6,43582.2,6872.0,115,41699.1,72.3,27,602.8,1760.7
CHN_G1715,419250.0,1440750.0,80.255283,13.031613,13.14,3.04,0.48,37.0,0.826,0.0,0.174,50,2.5,4917.6,1270.6,1313.0,676.8,43987.6,7311.5,335,81042.4,310.1,35,196.3,1874.4
CHN_G1716,419750.0,1440750.0,80.259894,13.031626,10.59,1.21,0.615,213.0,0.869,0.0,0.13,50,31.5,5233.7,1744.0,1177.6,216.5,44394.9,7566.9,388,91250.1,44.2,36,462.4,2103.9
CHN_G1717,420250.0,1440750.0,80.264504,13.031639,9.46,1.38,0.649,213.0,0.65,0.0,0.35,50,36.5,5576.8,2203.5,896.7,149.9,44804.0,6295.3,157,37462.5,301.5,25,346.9,1901.3
CHN_G1718,420750.0,1440750.0,80.269115,13.031652,12.34,1.58,0.38,213.0,0.84,0.0,0.139,50,86.2,5941.6,2669.1,796.4,419.2,45215.0,5503.3,177,19329.0,399.1,14,399.6,1558.4
CHN_G1719,421250.0,1440750.0,80.273726,13.031665,12.93,2.22,0.225,213.0,0.934,0.0,0.066,50,14.9,6325.0,3138.7,877.6,745.9,45627.8,4010.6,0,0.0,505.4,6,616.1,1319.9
CHN_G1720,421750.0,1440750.0,80.278337,13.031678,9.43,3.0,0.323,57.0,0.721,0.072,0.041,50,252.1,6723.7,3616.5,1061.9,1136.4,46042.3,654.2,0,0.0,297.5,3,833.4,1247.2
CHN_G1721,422250.0,1440750.0,80.282948,13.031691,0.0,0.0,0.792,57.0,0.0,0.999,0.0,80,701.1,7134.4,4099.6,1339.0,1364.7,46458.4,0.0,0,0.0,649.3,2,914.1,1367.2
CHN_G1722,422750.0,1440750.0,80.28756,13.031704,0.0,0.0,0.692,57.0,0.0,1.0,0.0,80,1186.0,7554.2,4586.3,1695.4,1698.6,46876.2,0.0,0,0.0,1116.7,0,1215.1,1637.9
CHN_G1723,402250.0,1441250.0,80.098496,13.035636,22.89,2.75,0.567,321.0,0.543,0.0,0.453,50,3715.4,3178.4,4098.8,1385.4,16384.1,31210.8,0.0,0,0.0,1308.8,0,1738.2,8739.8
CHN_G1724,402750.0,1441250.0,80.103107,13.035652,19.95,2.57,0.714,321.0,0.541,0.0,0.45,50,3218.6,3128.6,3685.1,1116.0,15887.9,31531.3,0.0,0,0.0,813.9,2,1238.4,8326.3
