event_id,metric,phase6_reported,phase7a_reproduced,phase7a1_corrected,scale_factor,invariant
storm_024,Pred_Peak_m,9.46358585357666,9.46358585357666,1.8927172422409058,5x -> 1x,NO (5x scale)
storm_024,Peak_Error_m,-4.236371040344238,-4.236371040344238,-0.8472741842269897,5x -> 1x,NO (5x scale)
storm_024,Peak_Pct_Error,-30.922512240091393,-30.922512240091393,-30.922512240091393,1x,YES
storm_024,Pearson_Corr,0.7067854921597969,0.7067854921597969,0.7067854920742989,1x,YES
storm_024,Spearman_Corr,0.6294192788367233,0.6294192788367233,0.629419278790309,1x,YES
storm_024,U_MAE_mps,0.19477461278438568,0.19477461278438568,0.03895492106676102,5x -> 1x,NO (5x scale)
storm_024,V_MAE_mps,0.19503702223300934,0.19503702223300934,0.03900740668177605,5x -> 1x,NO (5x scale)
storm_028,H_MAE_m,0.34977808594703674,0.34977808594703674,0.06995562463998795,5x -> 1x,NO (5x scale)
storm_028,H_RMSE_m,0.7383179664611816,0.7383179664611816,0.14766359329223633,5x -> 1x,NO (5x scale)
storm_028,H_Bias_m,-0.020459746941924095,-0.020459746941924095,-0.004091949202120304,5x -> 1x,NO (5x scale)
storm_028,True_Peak_m,17.74352264404297,17.74352264404297,3.5487043857574463,5x -> 1x,NO (5x scale)
storm_028,Pred_Peak_m,13.859626770019531,13.859626770019531,2.771925449371338,5x -> 1x,NO (5x scale)
storm_028,Peak_Error_m,-3.8838958740234375,-3.8838958740234375,-0.7767789363861084,5x -> 1x,NO (5x scale)
storm_028,Peak_Pct_Error,-21.889085478736217,-21.889085478736217,-21.889085478736217,1x,YES
storm_028,Pearson_Corr,0.7692134730017621,0.7692134730017621,0.7692134728800654,1x,YES
storm_028,Spearman_Corr,0.5903831458423452,0.5903831458423452,0.590383145940328,1x,YES
storm_028,U_MAE_mps,0.23241786658763885,0.23241786658763885,0.046483565121889114,5x -> 1x,NO (5x scale)
storm_028,V_MAE_mps,0.23034735023975372,0.23034735023975372,0.046069469302892685,5x -> 1x,NO (5x scale)
